cluster,volume_cluster,aantal_keywords,intent,template,nieuwe_url,huidige_positie,huidige_url,bestaande_handle,content_chars,prioriteit,serp_features
japandi verf,200,1,,gids,/japandi-verf/,,,,0,P3,
japandi boxspring,200,1,,gids,/japandi-boxspring/,,,,0,P3,
japandi kussen,200,1,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-kussen/,,,japandi-kussens,2500,P3,"Shopping Ads,Thumbnail,Image pack,Shopping,People also ask"
japandi tuinset,200,1,,gids,/japandi-tuinset/,,,,0,P3,
japandi poster,200,1,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-poster/,,,japandi-posters,1500,P3,"Sitelinks,Thumbnail,Shopping,Image pack"
japandi plant,200,1,"Informational,Non-branded,Non-local",gids,/japandi-plant/,,,,0,P3,"Shopping Ads,Thumbnail,AI Overview,People also ask,Bottom ad"
japandi deur,200,1,"Informational,Commercial,Non-branded,Non-local",koopgids,/japandi-deur/,,,,0,P3,"Image pack,Videos,Shopping,Thumbnail,People also ask"
japandi stijl tv meubel,200,1,,gids,/japandi-stijl-tv-meubel/,,,,0,P3,
japandi ronde eettafel,150,1,,gids,/japandi-ronde-eettafel/,,,,0,P3,
japandi wc,150,1,"Informational,Non-branded,Non-local",gids,/japandi-wc/,,,,0,P3,"Image pack,People also ask,Thumbnail,Shopping,Bottom ads,Pai"
japandi vloerkleed organisch,150,1,,gids,/japandi-vloerkleed-organisch/,,,,0,P3,
japandi tv meubel zwevend,150,1,,gids,/japandi-tv-meubel-zwevend/,,,,0,P3,
japandi schilderij groot,150,1,,gids,/japandi-schilderij-groot/,,,,0,P3,
japandi lamp staand,150,1,,gids,/japandi-lamp-staand/,,,,0,P3,
japandi buffetkast,150,1,,gids,/japandi-buffetkast/,,,japandi-buffetkasten,1716,P3,
japandi eetkamer lamp,150,1,,gids,/japandi-eetkamer-lamp/,,,,0,P3,
japandi tegels,150,1,"Informational,Commercial,Non-branded,Non-local",koopgids,/japandi-tegels/,,,,0,P3,"Image pack,Shopping,Thumbnail,People also ask"
japandi binnendeur,150,1,,gids,/japandi-binnendeur/,,,,0,P3,
japandi lamp slaapkamer,150,1,,gids,/japandi-lamp-slaapkamer/,,,,0,P3,
japandi gordijnen,150,1,"Informational,Commercial,Transactional,Non-branded,Non-local",koopgids,/japandi-gordijnen/,,,japandi-gordijnen,3188,P3,"Thumbnail,Image pack,People also ask,Shopping"
japandi bed 180x200,150,1,,gids,/japandi-bed-180x200/,,,,0,P3,
japandi fotolijst,150,1,,gids,/japandi-fotolijst/,,,,0,P3,
japandi vakkenkast,150,1,,gids,/japandi-vakkenkast/,,,,0,P3,
japandi onderzetters,150,1,,gids,/japandi-onderzetters/,,,,0,P3,
japandi eetkamerbank,150,1,,gids,/japandi-eetkamerbank/,,,eetkamerbanken,2004,P3,
japandi keukenstijl,150,1,,gids,/japandi-keukenstijl/,,,,0,P3,
japandi stijl stoelen,150,1,,gids,/japandi-stijl-stoelen/,,,,0,P3,
japandi stijl eetkamerstoel,150,1,,gids,/japandi-stijl-eetkamerstoel/,,,,0,P3,
plafondlamp japandi stijl,150,1,,gids,/japandi-plafondlamp-stijl/,,,,0,P3,
japandi dienblad,100,1,,gids,/japandi-dienblad/,,,,0,P3,
japandi eettafel organisch,100,1,,gids,/japandi-eettafel-organisch/,,,,0,P3,
japandi vitrinekast,100,1,,gids,/japandi-vitrinekast/,,,,0,P3,
japandi tv meubel zwart,100,1,,gids,/japandi-tv-meubel-zwart/,,,japandi-tv-meubel-zwart,1526,P3,
japandi plafonniere,100,1,,gids,/japandi-plafonniere/,,,,0,P3,
japandi vaas groot,100,1,,gids,/japandi-vaas-groot/,,,,0,P3,
japandi ladekast,100,1,,gids,/japandi-ladekast/,,,,0,P3,
japandi vloerkleed 200x300,100,1,,gids,/japandi-vloerkleed-200x300/,,,,0,P3,
japandi dekbedovertrek,100,1,,gids,/japandi-dekbedovertrek/,,,,0,P3,
japandi accessoires kwantum,100,1,,gids,/japandi-accessoires-kwantum/,,,,0,P3,
japandi plantenpot,100,1,,gids,/japandi-plantenpot/,,,,0,P3,
japandi cinewall,100,1,,gids,/japandi-cinewall/,,,japandi-cinewall,2150,P3,
